% Model:              halbach.mph
% Version:            COMSOL 5.3.0.316
% Date:               Jun 21 2021, 06:09
% Dimension:          2
% Nodes:              1000
% Expressions:        2
% Description:        Magnetic flux density norm, 
% Length unit:        m
% X                       Y                        mfnc.normB (T)           atan2(y,x) (rad)
0.07112876263338226       -0.14387824410328326     0.020655303730022865     -1.1116646677117035
0.07158086947245472       -0.14365385176029008     0.021232272794409965     -1.1085199303207227
0.0720322684221742        -0.14342803877190766     0.021809198032529405     -1.105375192929742
0.07248295501849167       -0.14320080737128305     0.022386073646463635     -1.1022304555387612
0.07293292480440285       -0.14297215980559055     0.022898276700447705     -1.0990857181477804
0.07338217332999221       -0.14274209833600943     0.023431504302286625     -1.0959409807567997
0.07383069615247707       -0.14251062523770153     0.023965032835107043     -1.092796243365819
0.07427848883625149       -0.14227774279978883     0.024498848618732774     -1.0896515059748382
0.07472554695293011       -0.14204345332533083     0.025032939195249865     -1.0865067685838576
0.07517186608139201       -0.14180775913130164     0.02556729320229755      -1.0833620311928767
0.07561744180782437       -0.14157066254856723     0.026101900261675103     -1.080217293801896
0.07606226972576613       -0.14133216592186226     0.026636750881155337     -1.0770725564109151
0.0765063454361516        -0.14109227160976695     0.027171836367718624     -1.0739278190199344
0.076949664547354         -0.1408509819846837      0.02770714875069109      -1.0707830816289534
0.07739222267522866       -0.1406082994328138      0.028242680713496577     -1.0676383442379727
0.0778340154431568        -0.1403642263541335      0.0288119429552132       -1.064493606846992
0.07827503848208833       -0.1401187651623707      0.029626030907608254     -1.0613488694560114
0.07871528743058549       -0.13987191828498066     0.03043992618478643      -1.0582041320650304
0.07915475793486565       -0.13962368816312232     0.031253623886069955     -1.0550593946740496
0.07959344564884452       -0.13937407725163398     0.032067119208912455     -1.0519146572830689
0.08003134623417918       -0.13912308801900905     0.032880407437123116     -1.048769919892088
0.08046845536031075       -0.13887072294737174     0.03369348393080817      -1.0456251825011074
0.08090476870450763       -0.1386169845324523      0.034506344117747556     -1.0424804451101264
0.08134028195190773       -0.13836187528356267     0.035318983485971275     -1.0393357077191459
0.08177499079556166       -0.13810539772357128     0.036131397577350365     -1.0361909703281649
0.08220889093647483       -0.13784755438887838     0.03694358198204085      -1.0330462329371843
0.08264197808365047       -0.13758834782939083     0.037755532333655265     -1.0299014955462034
0.08307424795413147       -0.137327780608497       0.03904242163199764      -1.0267567581552228
0.08350569627304343       -0.13706585530304116     0.03979525811573533      -1.0236120207642418
0.08393631877363628       -0.1368025745032984      0.04054844758915503      -1.0204672833732613
0.08436611119732698       -0.13653794081294862     0.04130196977598339      -1.0173225459822803
0.08479506929374127       -0.13627195684905102     0.042055805864708286     -1.0141778085912998
0.08522318882075593       -0.1360046252420181      0.0428099383808568       -1.0110330712003188
0.08565046554454066       -0.13573594863558971     0.04319631231078355      -1.0078883338093378
0.08607689523959988       -0.13546592968680704     0.044276770272888864     -1.0047435964183573
0.08650247368881477       -0.1351945710659859      0.04535748423027559      -1.0015988590273763
0.0869271966834845        -0.13492187545669085     0.04643842119577873      -0.9984541216363957
0.08735106002336844       -0.13464784555570833     0.04751955083918982      -0.9953093842454149
0.0877740595167272        -0.13437248407302008     0.04860084519342464      -0.9921646468544342
0.08819619098036437       -0.1340957937317763      0.04968227839874889      -0.9890199094634534
0.08861745023966779       -0.13381777726826885     0.05076382647944917      -0.9858751720724727
0.08903783312865081       -0.13353843743190397     0.051845467148262        -0.9827304346814918
0.08945733548999357       -0.13325777698517538     0.0529271796346302       -0.979585697290511
0.08987595317508407       -0.13297579870363666     0.054008944533474934     -0.9764409598995303
0.09029368204405916       -0.13269250537587401     0.055090743671689965     -0.9732962225085496
0.09071051796584555       -0.13240789980347853     0.0561725599899862       -0.9701514851175687
0.0911264568182006        -0.13212198480101872     0.05725437743807298      -0.9670067477265881
0.09154149448775319       -0.13183476319601237     0.05833618088145574      -0.9638620103356073
0.0919556268700442        -0.1315462378288988      0.059417956018378786     -0.9607172729446264
0.09236884986956737       -0.13125641155301074     0.06049968930565363      -0.9575725355536456
0.0927811593998095        -0.130965287234546       0.06379418772311782      -0.9544277981626649
0.09319255138329119       -0.13067286775253933     0.06483580171222268      -0.9512830607716842
0.0936030217516069        -0.13037915599883368     0.06587896253587723      -0.9481383233807033
0.09401256644546523       -0.13008415487805186     0.06692359614986669      -0.9449935859897225
0.09442118141472924       -0.12978786730756767     0.06712674180513059      -0.9418488485987417
0.09482886261845627       -0.12949029621747704     0.06880190523057374      -0.938704111207761
0.09523560602493807       -0.12919144455056913     0.07048011647621262      -0.9355593738167802
0.09564140761174059       -0.12889131526229722     0.07216113109366945      -0.9324146364257995
0.09604626336574376       -0.12858991132074937     0.07357305024949563      -0.9292698990348188
0.09645016928318123       -0.12828723570661926     0.07529514922367728      -0.9261251616438381
0.09685312136967991       -0.1279832914131765      0.07701774937533871      -0.9229804242528572
0.09725511564029948       -0.12767808144623718     0.07874083101697876      -0.9198356868618763
0.09765614811957185       -0.12737160882413412     0.0804643762335426       -0.9166909494708955
0.09805621484154038       -0.127063876577687       0.0821883686963871       -0.9135462120799148
0.09845531184979923       -0.12675488775017232     0.08391279349998536      -0.9104014746889341
0.09885343519753235       -0.12644464539729341     0.08563763701819377      -0.9072567372979532
0.09925058094755257       -0.1261331525871502      0.08736288677740345      -0.9041119999069724
